sp,interp,param_or_ic_label,role,truth_val,estimate,actual_delta,predicted_delta,ift_mismatch,worst_dd_rel,cond_J,n_solutions_prod,closest_dist
4.00000,agp_robust,Npop_3,state_derivative,NaN,NaN,0.000000e+00,1.024364e-51,NaN,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,S_1,state_derivative,NaN,NaN,-7.341253e+31,1.428688e-52,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,S_2,state_derivative,NaN,NaN,-3.539914e+47,-5.207201e-53,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,S_0,state_ic,6.470000e-01,-1.522466e+16,-1.522466e+16,8.455970e-54,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,In_1,state_derivative,NaN,NaN,-1.031739e+18,3.706683e-54,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,In_2,state_derivative,NaN,NaN,1.207915e+33,8.481736e-55,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,b_0,parameter,4.140000e-01,1.046227e+02,1.042087e+02,-1.941990e-57,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,a_0,parameter,1.870000e-01,-3.810477e-01,-5.680477e-01,-7.478750e-64,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,Npop_0,state_ic,3.210000e-01,3.209988e-01,-1.229719e-06,4.529709e-67,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,Npop_4,state_derivative,NaN,NaN,0.000000e+00,1.062189e-67,NaN,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,S_3,state_derivative,NaN,NaN,-1.706928e+63,2.159901e-68,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,In_3,state_derivative,NaN,NaN,5.824504e+48,3.517970e-70,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,E_3,state_derivative,NaN,NaN,1.689859e+65,-1.090692e-70,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,E_2,state_derivative,NaN,NaN,3.504515e+49,-9.063654e-72,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,nu_0,parameter,2.770000e-01,1.312930e+00,1.035930e+00,-1.718487e-80,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,S_4,state_derivative,NaN,NaN,-8.230719e+78,-7.550795e-84,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,In_4,state_derivative,NaN,NaN,2.808545e+64,3.825844e-86,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,In_5,state_derivative,NaN,NaN,1.354266e+80,2.379291e-86,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,E_4,state_derivative,NaN,NaN,8.148412e+80,-1.236012e-86,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
