case_id	source_method_key	source_method_label	target_method_key	target_method_label	seed_primary_role	seed_roles	source_seed_benchmark_rmse	source_seed_max_rel_err	source_seed_fit_objective	target_cold_oracle_rmse	target_cold_selected_rmse	transfer_best_rmse	transfer_selected_rmse	transfer_best_fit_objective	transfer_selected_fit_objective	distance_to_target_oracle	distance_to_target_selected	same_target_oracle	same_target_selected	same_target_any	benchmark_improved_vs_seed	fit_improved_vs_seed	status	reason	transfer_runtime_seconds
crauste_7_1em4	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	scalar_log	Scalar log-space	top_fit_2	top_fit_2	3.3849726858874285	43.24778761061947	1.096967734366025e9	3.678009040380705	3.678009040380705	3.3849726858874285	17.17378043055811	1.096967734366025e9	1.034852369384322e6	0.9999986404358585	0.9999986404358585	false	false	false	false	true	ok		129.396669571
crauste_7_1em4	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	scalar_log	Scalar log-space	top_fit_3	top_fit_3	3.031258332134075	36.037037037037045	2.723455617784239e9	3.678009040380705	3.678009040380705	3.031258332134075	8.092521878276848	2.723455617784239e9	75181.275324726	0.9999986404358585	0.9999986404358585	false	false	false	false	true	ok		138.880311237
crauste_7_1em4	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	oracle_best	oracle_best	2.22382879566379	23.89926045617372	4.229825756599654e10	0.3565602453218376	2.445712379564965	2.173622081271073	2.173622081271073	4.209684019961822e10	4.209684019961822e10	0.999986364974528	0.9999864212977053	false	false	false	true	true	ok		2.230676519
crauste_7_1em4	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	fit_selected	fit_selected,top_fit_1	2.385488832727355	32.00330033003299	1.4082900354750842e8	0.3565602453218376	2.445712379564965	2.385488832727355	3.268588531045117	1.4082900354750842e8	2.7411759130036596e7	0.9999955913440272	0.9999979998532049	false	false	false	false	true	ok		5.682627056
crauste_7_1em4	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	top_fit_2	top_fit_2	3.3849726858874285	43.24778761061947	1.096967734366025e9	0.3565602453218376	2.445712379564965	3.3849726858874285	3.629958380776467	1.096967734366025e9	2.4731977045686296e8	0.9999979757678239	0.9688042659103665	false	false	false	false	true	ok		6.823361025
crauste_7_1em4	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	top_fit_3	top_fit_3	3.031258332134075	36.037037037037045	2.723455617784239e9	0.3565602453218376	2.445712379564965	3.0247097830655143	3.0247097830655143	2.585235787471468e9	2.585235787471468e9	0.9999959601910854	0.987346196002779	false	false	false	true	true	ok		9.804806249
hiv_2_1em4	scalar_log	Scalar log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	oracle_best	oracle_best,top_fit_2	0.10063884392350488	0.9999528354384449	4.856739497615969	0.1435321873973816	0.1497715132996398	0.10063884392350488	0.14977151328035926	4.856739497615969	4.80123489738919	0.34037195018247446	0.3645398813469955	false	false	false	false	true	ok		8.873968683
hiv_2_1em4	scalar_log	Scalar log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	fit_selected	fit_selected,top_fit_1	0.1617415095943934	0.9960480686882315	4.801409092484428	0.1435321873973816	0.1497715132996398	0.14977151328110636	0.14977151328110636	4.801234897387746	4.801234897387746	0.02416793116452106	2.922810360406203e-7	false	true	true	true	true	ok		7.896066397
hiv_2_1em4	scalar_log	Scalar log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	top_fit_3	top_fit_3	0.15747704664208917	0.9999827684147021	4.866404168937368	0.1435321873973816	0.1497715132996398	0.14977151327964494	0.14977151327964494	4.801234897388346	4.801234897388346	0.02416793116452106	2.9226748948785186e-7	false	true	true	true	true	ok		4.019717408
hiv_2_1em4	scalar_log	Scalar log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	oracle_best	oracle_best,top_fit_2	0.10063884392350488	0.9999528354384449	4.856739497615969	0.1497715132796933	0.1497715132796933	0.10063884392350488	0.14977151328066002	4.856739497615969	4.801234897388122	0.3645398813469955	0.3645398813469955	false	false	false	false	true	ok		3.471317075
hiv_2_1em4	scalar_log	Scalar log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	fit_selected	fit_selected,top_fit_1	0.1617415095943934	0.9960480686882315	4.801409092484428	0.1497715132796933	0.1497715132796933	0.14977151328882576	0.14977151328882576	4.801234897388197	4.801234897388197	3.647291907382666e-8	3.647291907382666e-8	true	true	true	true	true	ok		4.176211122
hiv_2_1em4	scalar_log	Scalar log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	top_fit_3	top_fit_3	0.15747704664208917	0.9999827684147021	4.866404168937368	0.1497715132796933	0.1497715132796933	0.1497727802733894	0.1497727802733894	4.801307398743858	4.801307398743858	0.0012720882655437582	0.0012720882655437582	false	false	false	true	true	ok		5.566590406
hiv_2_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	scalar_log	Scalar log-space	oracle_best	oracle_best	0.1435321873973816	0.9583139117853086	4.8012349137894565	0.10063884392350488	0.1617415095943934	0.1435321873973816	0.14977351109758186	4.8012349137894565	4.8012348973849015	0.34037195018247446	0.38582761291728024	false	false	false	false	true	ok		37.900317518
hiv_2_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	scalar_log	Scalar log-space	fit_selected	fit_selected,top_fit_1,top_fit_2	0.1497715132996398	0.9999827586206897	4.801234897387546	0.10063884392350488	0.1617415095943934	0.14977374537863708	0.14977374537863708	4.8012348973838685	4.8012348973838685	0.364548527300384	0.385827676627008	false	false	false	false	true	ok		16.378497735
hiv_2_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	scalar_log	Scalar log-space	top_fit_3	top_fit_3	0.14927935477081564	0.9966959332021209	4.801234898669627	0.10063884392350488	0.1617415095943934	0.14927935477081564	0.14977380236076485	4.801234898669627	4.801234897382755	0.36263352260422566	0.38582767161300563	false	false	false	false	true	ok		32.651237864
hiv_2_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	oracle_best	oracle_best	0.1435321873973816	0.9583139117853086	4.8012349137894565	0.1497715132796933	0.1497715132796933	0.1435321873973816	0.1497715133144064	4.8012349137894565	4.801234897389823	0.02416793116452106	0.02416793116452106	false	false	false	false	true	ok		1.338713416
hiv_2_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	fit_selected	fit_selected,top_fit_1,top_fit_2	0.1497715132996398	0.9999827586206897	4.801234897387546	0.1497715132796933	0.1497715132796933	0.1497715132996398	0.1497715132996398	4.801234897387546	4.801234897387546	2.922689797402178e-7	2.922689797402178e-7	true	true	true	false	false	ok		0.333385931
